Date Time	Event (Rainfall )
10/16/09 10:52:05.0	0
10/16/09 10:52:08.5	0.0106383
10/19/09 08:16:27.0	0.0212766
10/19/09 08:35:59.0	0.0319149
10/19/09 08:45:37.0	0.0425532
10/19/09 09:02:01.5	0.0531915
10/19/09 09:03:49.5	0.0638298
10/19/09 09:03:55.5	0.0744681
10/19/09 09:04:30.0	0.0851064
10/19/09 09:04:36.5	0.0957447
10/19/09 09:04:44.0	0.106383
10/19/09 09:04:53.5	0.117021
10/19/09 09:46:22.0	0.12766
10/19/09 09:52:01.5	0.138298
10/19/09 09:55:09.0	0.148936
10/19/09 09:59:00.5	0.159575
10/19/09 10:07:33.5	0.170213
10/19/09 10:28:19.5	0.180851
10/19/09 10:41:40.5	0.191489
10/19/09 10:51:59.0	0.202128
10/19/09 11:07:05.5	0.212766
10/19/09 11:30:24.5	0.223404
10/19/09 11:43:58.5	0.234043
10/19/09 11:53:56.5	0.244681
10/19/09 11:56:46.5	0.255319
10/20/09 07:28:18.0	0.265958
11/03/09 10:41:12.0	0.265958
