Date Time	Event (Rainbucket Tip)
03/30/10 09:45:44.0	0
03/30/10 09:46:12.0	0.0105263
03/30/10 23:08:05.0	0.0210526
03/31/10 00:59:09.0	0.031579
03/31/10 01:45:02.0	0.0421053
03/31/10 02:22:22.0	0.0526316
03/31/10 02:26:24.5	0.0631579
03/31/10 02:29:02.5	0.0736842
03/31/10 02:36:19.0	0.0842105
03/31/10 03:46:15.0	0.0947368
03/31/10 05:36:28.0	0.105263
03/31/10 05:38:08.0	0.115789
03/31/10 05:41:06.5	0.126316
03/31/10 06:02:06.0	0.136842
03/31/10 06:05:39.5	0.147368
03/31/10 06:09:32.0	0.157895
03/31/10 07:49:23.5	0.168421
03/31/10 16:40:33.0	0.178947
03/31/10 16:45:01.5	0.189474
03/31/10 16:46:38.5	0.2
03/31/10 16:50:16.0	0.210526
03/31/10 16:53:11.5	0.221053
03/31/10 16:55:31.5	0.231579
03/31/10 16:57:40.5	0.242105
03/31/10 17:00:29.5	0.252632
03/31/10 17:04:26.5	0.263158
03/31/10 17:06:17.0	0.273684
03/31/10 17:07:54.0	0.284211
03/31/10 17:09:34.0	0.294737
03/31/10 17:11:20.0	0.305263
03/31/10 17:12:56.5	0.315789
03/31/10 17:16:52.0	0.326316
03/31/10 17:21:13.5	0.336842
03/31/10 17:24:17.0	0.347368
03/31/10 17:26:57.5	0.357895
03/31/10 17:30:26.0	0.368421
03/31/10 17:34:06.5	0.378947
03/31/10 17:35:47.0	0.389474
03/31/10 17:38:04.5	0.4
03/31/10 17:41:52.0	0.410526
03/31/10 17:46:25.5	0.421053
03/31/10 17:49:54.5	0.431579
03/31/10 17:53:01.0	0.442105
03/31/10 17:55:42.0	0.452632
03/31/10 17:59:22.5	0.463158
03/31/10 18:01:52.0	0.473684
03/31/10 18:04:42.0	0.484211
03/31/10 18:07:15.0	0.494737
03/31/10 18:08:59.5	0.505263
03/31/10 18:10:43.0	0.51579
03/31/10 18:12:57.0	0.526316
03/31/10 18:17:51.0	0.536842
03/31/10 18:25:33.5	0.547368
03/31/10 18:30:20.5	0.557895
03/31/10 18:34:20.5	0.568421
03/31/10 18:39:14.0	0.578947
03/31/10 18:43:57.0	0.589474
03/31/10 18:47:16.5	0.6
03/31/10 18:50:23.5	0.610526
03/31/10 18:52:33.0	0.621053
03/31/10 18:57:50.5	0.631579
03/31/10 19:06:40.0	0.642105
03/31/10 19:14:49.5	0.652632
03/31/10 19:17:12.0	0.663158
03/31/10 19:19:10.0	0.673684
03/31/10 19:21:30.0	0.684211
03/31/10 19:26:27.5	0.694737
03/31/10 19:28:41.0	0.705263
03/31/10 19:30:16.5	0.715789
03/31/10 19:31:59.5	0.726316
03/31/10 19:34:02.0	0.736842
03/31/10 19:35:46.5	0.747368
03/31/10 19:36:50.5	0.757895
03/31/10 19:38:15.5	0.768421
03/31/10 19:39:34.5	0.778947
03/31/10 19:41:28.5	0.789474
03/31/10 19:43:19.0	0.8
03/31/10 19:44:36.5	0.810526
03/31/10 19:45:47.0	0.821053
03/31/10 19:47:26.5	0.831579
03/31/10 19:49:10.5	0.842105
03/31/10 19:51:03.0	0.852632
03/31/10 19:53:43.5	0.863158
03/31/10 19:57:10.5	0.873684
03/31/10 20:00:33.5	0.884211
03/31/10 20:03:07.5	0.894737
03/31/10 20:05:23.5	0.905263
03/31/10 20:08:12.0	0.91579
03/31/10 20:11:03.0	0.926316
03/31/10 20:14:06.5	0.936842
03/31/10 20:17:46.0	0.947369
03/31/10 20:21:22.5	0.957895
03/31/10 20:24:30.5	0.968421
03/31/10 20:27:20.5	0.978947
03/31/10 20:30:43.0	0.989474
03/31/10 20:33:38.0	1
03/31/10 20:36:58.5	1.01053
03/31/10 20:39:55.0	1.02105
03/31/10 20:43:14.0	1.03158
03/31/10 20:46:41.0	1.04211
03/31/10 20:50:09.5	1.05263
03/31/10 20:53:03.0	1.06316
03/31/10 20:56:00.0	1.07368
03/31/10 20:58:20.0	1.08421
03/31/10 21:01:34.0	1.09474
03/31/10 21:05:00.5	1.10526
03/31/10 21:08:24.0	1.11579
03/31/10 21:10:51.5	1.12632
03/31/10 21:12:54.0	1.13684
03/31/10 21:14:53.5	1.14737
03/31/10 21:17:52.0	1.15789
03/31/10 21:19:24.0	1.16842
03/31/10 21:21:39.0	1.17895
03/31/10 22:11:19.5	1.18947
04/02/10 12:27:06.0	1.2
04/02/10 13:14:12.0	1.21053
04/02/10 13:26:05.5	1.22105
04/02/10 14:32:50.0	1.23158
04/02/10 14:38:49.0	1.24211
04/02/10 14:49:24.0	1.25263
04/02/10 15:00:17.0	1.26316
04/02/10 15:06:27.0	1.27368
04/02/10 15:16:01.5	1.28421
04/02/10 15:19:51.5	1.29474
04/02/10 15:21:48.0	1.30526
04/02/10 15:25:12.5	1.31579
04/02/10 15:27:30.5	1.32632
04/02/10 15:30:34.5	1.33684
04/02/10 15:34:47.0	1.34737
04/02/10 15:36:38.5	1.35789
04/02/10 15:38:50.0	1.36842
04/02/10 15:40:54.5	1.37895
04/02/10 15:42:31.0	1.38947
04/02/10 15:44:33.5	1.4
04/02/10 15:46:39.5	1.41053
04/02/10 15:48:36.0	1.42105
04/02/10 15:50:17.5	1.43158
04/02/10 15:52:20.5	1.44211
04/02/10 15:54:25.0	1.45263
04/02/10 15:56:31.5	1.46316
04/02/10 15:58:50.5	1.47368
04/02/10 16:00:42.5	1.48421
