Date Time	Event (Events)
02/22/10 17:11:05.0	0
02/23/10 09:46:13.5	0.0108696
02/23/10 10:21:48.5	0.0217392
02/23/10 10:42:42.0	0.0326088
02/23/10 10:53:53.0	0.0434784
02/23/10 11:02:45.0	0.054348
02/23/10 11:13:40.0	0.0652176
02/23/10 11:22:24.0	0.0760872
02/23/10 11:29:09.0	0.0869568
02/23/10 11:35:10.0	0.0978264
02/23/10 11:38:50.0	0.108696
02/23/10 11:41:47.0	0.119566
02/23/10 11:46:46.5	0.130435
02/23/10 11:52:49.0	0.141305
02/23/10 11:58:26.5	0.152174
02/23/10 12:01:52.5	0.163044
02/23/10 12:06:36.5	0.173914
02/23/10 12:09:39.5	0.184783
02/23/10 12:15:21.0	0.195653
02/23/10 12:26:28.0	0.206522
02/23/10 12:33:05.0	0.217392
02/23/10 12:45:05.0	0.228262
02/23/10 12:55:48.5	0.239131
02/23/10 13:06:36.0	0.250001
02/23/10 13:15:58.0	0.26087
02/23/10 13:23:54.5	0.27174
02/23/10 13:51:18.5	0.28261
02/23/10 14:02:22.0	0.293479
02/23/10 14:29:49.5	0.304349
02/23/10 15:17:46.5	0.315218
02/23/10 15:19:12.0	0.326088
02/23/10 15:21:17.5	0.336958
02/23/10 15:23:32.0	0.347827
02/23/10 15:34:39.5	0.358697
02/23/10 15:45:32.0	0.369566
02/23/10 16:20:27.0	0.380436
02/23/10 16:37:12.0	0.391306
02/23/10 17:09:32.5	0.402175
02/23/10 17:22:40.5	0.413045
02/23/10 17:37:42.0	0.423914
02/23/10 17:47:25.5	0.434784
02/23/10 17:52:22.0	0.445654
02/23/10 18:14:49.0	0.456523
02/23/10 18:29:06.0	0.467393
02/23/10 18:40:02.0	0.478262
02/23/10 18:52:39.5	0.489132
02/23/10 19:02:01.5	0.500002
02/23/10 19:17:24.5	0.510871
02/23/10 19:25:25.5	0.521741
02/23/10 19:28:56.0	0.53261
02/23/10 19:32:56.5	0.54348
02/23/10 19:38:30.0	0.55435
02/23/10 19:43:37.0	0.565219
02/23/10 19:49:53.5	0.576089
02/23/10 19:54:29.5	0.586958
02/23/10 19:57:21.5	0.597828
02/23/10 20:00:03.5	0.608698
02/23/10 20:03:05.0	0.619567
02/23/10 20:06:04.5	0.630437
02/23/10 20:08:57.5	0.641306
02/23/10 20:11:36.0	0.652176
02/23/10 20:14:51.0	0.663046
02/23/10 20:18:40.5	0.673915
02/23/10 20:22:41.0	0.684785
02/23/10 20:26:24.5	0.695654
02/23/10 20:29:32.0	0.706524
02/23/10 20:32:02.0	0.717394
02/23/10 20:34:44.5	0.728263
02/23/10 20:38:11.5	0.739133
02/23/10 20:42:00.0	0.750002
02/23/10 20:44:07.0	0.760872
02/23/10 20:45:42.5	0.771742
02/23/10 20:47:29.0	0.782611
02/23/10 20:50:10.0	0.793481
02/23/10 20:52:31.5	0.80435
02/23/10 20:55:03.0	0.81522
02/23/10 20:57:31.0	0.82609
02/23/10 21:00:41.5	0.836959
02/23/10 21:02:37.0	0.847829
02/23/10 21:04:58.0	0.858698
02/23/10 21:07:32.0	0.869568
02/23/10 21:11:29.0	0.880438
02/23/10 21:15:22.0	0.891307
02/23/10 21:19:13.0	0.902177
02/23/10 21:21:59.0	0.913046
02/23/10 21:24:24.5	0.923916
02/23/10 21:26:40.0	0.934786
02/23/10 21:29:35.5	0.945655
02/23/10 21:32:03.5	0.956525
02/23/10 21:35:21.5	0.967394
02/23/10 21:38:38.0	0.978264
02/23/10 21:48:55.5	0.989134
02/23/10 22:35:00.0	1
02/23/10 22:39:02.5	1.01087
02/23/10 22:42:46.0	1.02174
02/23/10 22:47:16.0	1.03261
02/23/10 22:57:56.5	1.04348
02/23/10 23:09:49.0	1.05435
02/23/10 23:15:55.5	1.06522
02/23/10 23:19:33.5	1.07609
02/23/10 23:25:10.5	1.08696
02/23/10 23:36:31.5	1.09783
02/23/10 23:44:41.5	1.1087
02/23/10 23:46:53.0	1.11957
02/23/10 23:50:43.5	1.13044
02/23/10 23:55:07.0	1.14131
02/24/10 00:00:54.5	1.15218
02/24/10 00:04:07.0	1.16305
02/24/10 00:10:53.5	1.17392
02/24/10 00:19:05.0	1.18479
02/24/10 00:24:17.0	1.19566
02/24/10 00:28:53.0	1.20653
02/24/10 00:31:23.0	1.2174
02/24/10 00:34:21.0	1.22826
02/24/10 00:37:02.5	1.23913
02/24/10 00:38:36.0	1.25
02/24/10 00:41:27.0	1.26087
02/24/10 00:44:04.5	1.27174
02/24/10 00:45:52.0	1.28261
02/24/10 00:48:31.5	1.29348
02/24/10 00:50:47.0	1.30435
02/24/10 00:53:08.5	1.31522
02/24/10 00:56:02.5	1.32609
02/24/10 01:00:05.5	1.33696
02/24/10 01:02:31.0	1.34783
02/24/10 01:05:49.0	1.3587
02/24/10 01:07:26.5	1.36957
02/24/10 01:09:11.5	1.38044
02/24/10 01:10:54.5	1.39131
02/24/10 01:12:04.0	1.40218
02/24/10 01:13:22.0	1.41305
02/24/10 01:15:52.5	1.42392
02/24/10 01:17:03.0	1.43479
02/24/10 01:18:17.5	1.44566
02/24/10 01:19:50.0	1.45653
02/24/10 01:22:24.0	1.4674
02/24/10 01:25:01.0	1.47827
02/24/10 01:30:04.5	1.48914
02/24/10 01:33:57.5	1.5
02/24/10 01:41:10.5	1.51087
02/24/10 01:44:29.0	1.52174
02/24/10 01:47:44.0	1.53261
02/24/10 01:50:04.5	1.54348
02/24/10 01:52:16.0	1.55435
02/24/10 01:54:02.5	1.56522
02/24/10 01:56:05.0	1.57609
02/24/10 02:00:27.0	1.58696
02/24/10 02:12:48.0	1.59783
02/24/10 02:16:06.0	1.6087
02/24/10 02:19:01.0	1.61957
02/24/10 02:21:46.5	1.63044
02/24/10 02:24:13.0	1.64131
02/24/10 02:26:02.0	1.65218
02/24/10 02:27:47.5	1.66305
02/24/10 02:29:28.5	1.67392
02/24/10 02:31:01.5	1.68479
02/24/10 02:32:00.0	1.69566
02/24/10 02:33:10.5	1.70653
02/24/10 02:34:20.0	1.7174
02/24/10 02:36:27.0	1.72827
02/24/10 02:38:44.5	1.73914
02/24/10 02:41:03.5	1.75001
02/24/10 02:46:40.0	1.76088
02/24/10 02:56:48.5	1.77174
02/24/10 02:59:33.5	1.78261
02/24/10 03:01:25.0	1.79348
02/24/10 03:03:16.0	1.80435
02/24/10 03:05:17.5	1.81522
02/24/10 03:06:39.5	1.82609
02/24/10 03:07:45.0	1.83696
02/24/10 03:09:09.0	1.84783
02/24/10 03:10:24.0	1.8587
02/24/10 03:11:29.5	1.86957
02/24/10 03:12:47.5	1.88044
02/24/10 03:14:01.0	1.89131
02/24/10 03:15:35.5	1.90218
02/24/10 03:17:16.5	1.91305
02/24/10 03:20:05.5	1.92392
02/24/10 03:22:10.0	1.93479
02/24/10 03:25:24.5	1.94566
02/24/10 03:31:46.5	1.95653
02/24/10 03:34:22.5	1.9674
02/24/10 03:35:53.0	1.97827
02/24/10 03:37:17.5	1.98914
02/24/10 03:38:27.5	2.00001
02/24/10 03:40:08.0	2.01088
02/24/10 03:44:56.5	2.02175
02/24/10 03:52:23.0	2.03262
02/24/10 03:59:33.5	2.04348
02/24/10 04:05:44.0	2.05435
02/24/10 04:17:03.0	2.06522
02/24/10 04:25:05.0	2.07609
02/24/10 04:36:16.5	2.08696
02/24/10 04:47:15.0	2.09783
02/24/10 05:24:55.5	2.1087
02/26/10 12:56:46.0	2.11957
02/26/10 13:13:28.0	2.13044
02/26/10 13:16:45.5	2.14131
02/26/10 13:18:51.0	2.15218
02/26/10 13:21:17.5	2.16305
02/26/10 13:27:29.5	2.17392
02/26/10 13:30:19.0	2.18479
02/26/10 13:32:26.0	2.19566
02/26/10 13:34:26.5	2.20653
02/26/10 13:37:33.5	2.2174
02/26/10 13:41:20.5	2.22827
02/26/10 13:44:22.0	2.23914
02/26/10 13:47:37.0	2.25001
02/26/10 13:50:40.5	2.26088
02/26/10 13:53:51.0	2.27175
02/26/10 13:57:54.5	2.28262
02/26/10 14:01:49.0	2.29349
02/26/10 14:06:34.5	2.30436
02/26/10 14:10:54.5	2.31522
02/26/10 14:14:27.0	2.32609
02/26/10 14:17:44.5	2.33696
02/26/10 14:23:10.0	2.34783
02/26/10 14:36:14.0	2.3587
02/26/10 14:39:01.5	2.36957
02/26/10 14:43:29.5	2.38044
02/26/10 14:43:40.5	2.39131
02/26/10 14:43:51.0	2.40218
02/26/10 14:44:02.5	2.41305
02/26/10 14:44:12.5	2.42392
02/26/10 14:44:26.5	2.43479
02/26/10 14:44:55.0	2.44566
02/26/10 14:45:33.0	2.45653
02/26/10 14:46:01.0	2.4674
02/26/10 14:46:47.5	2.47827
02/26/10 14:47:55.5	2.48914
02/26/10 14:48:54.5	2.50001
02/26/10 14:50:05.5	2.51088
02/26/10 14:51:56.0	2.52175
02/26/10 14:56:26.0	2.53262
02/26/10 15:01:52.5	2.54349
02/26/10 15:08:47.0	2.55436
02/26/10 15:12:23.5	2.56523
02/26/10 15:19:29.0	2.5761
02/26/10 15:24:55.5	2.58696
02/26/10 15:40:07.5	2.59783
02/27/10 02:36:56.5	2.6087
02/27/10 02:42:05.5	2.61957
02/27/10 02:44:21.0	2.63044
02/27/10 02:45:49.0	2.64131
02/27/10 02:48:55.0	2.65218
02/27/10 02:52:29.5	2.66305
02/27/10 02:54:38.0	2.67392
02/27/10 02:56:41.5	2.68479
02/27/10 02:57:37.5	2.69566
02/27/10 02:59:59.0	2.70653
02/27/10 03:01:36.0	2.7174
02/27/10 03:04:22.0	2.72827
02/27/10 03:08:35.5	2.73914
02/27/10 03:11:18.5	2.75001
02/27/10 03:23:35.0	2.76088
02/27/10 04:41:12.5	2.77175
02/27/10 04:44:16.5	2.78262
02/27/10 08:17:42.0	2.79349
02/27/10 08:27:02.0	2.80436
02/27/10 08:32:55.0	2.81523
02/27/10 08:40:32.5	2.8261
02/27/10 08:45:55.5	2.83697
02/27/10 08:50:38.0	2.84784
02/27/10 08:55:21.5	2.8587
02/27/10 09:01:25.5	2.86957
02/27/10 09:17:48.0	2.88044
02/27/10 09:28:00.0	2.89131
02/27/10 14:58:48.5	2.90218
03/02/10 02:45:40.0	2.91305
03/02/10 02:56:13.5	2.92392
03/02/10 03:02:38.0	2.93479
03/02/10 03:25:11.5	2.94566
03/02/10 04:19:34.5	2.95653
03/02/10 04:36:49.0	2.9674
03/02/10 06:08:45.5	2.97827
03/02/10 06:19:35.5	2.98914
03/02/10 06:27:57.5	3.00001
03/02/10 06:40:26.5	3.01088
03/02/10 06:47:17.0	3.02175
03/02/10 06:50:25.0	3.03262
03/02/10 06:52:27.5	3.04349
03/02/10 06:56:34.5	3.05436
03/02/10 06:59:25.0	3.06523
03/02/10 07:00:49.0	3.0761
03/02/10 07:02:46.5	3.08697
03/02/10 07:04:16.5	3.09784
03/02/10 07:05:07.5	3.10871
03/02/10 07:06:18.0	3.11958
03/02/10 07:07:24.5	3.13044
03/02/10 07:08:28.0	3.14131
03/02/10 07:09:21.5	3.15218
03/02/10 07:10:04.0	3.16305
03/02/10 07:11:08.5	3.17392
03/02/10 07:12:02.0	3.18479
03/02/10 07:12:43.5	3.19566
03/02/10 07:13:36.5	3.20653
03/02/10 07:14:52.5	3.2174
03/02/10 07:16:30.5	3.22827
03/02/10 07:18:09.0	3.23914
03/02/10 07:19:46.0	3.25001
03/02/10 07:21:01.5	3.26088
03/02/10 07:22:21.0	3.27175
03/02/10 07:24:02.0	3.28262
03/02/10 07:26:44.5	3.29349
03/02/10 07:30:16.0	3.30436
03/02/10 07:34:23.5	3.31523
03/02/10 07:37:45.0	3.3261
03/02/10 07:41:34.5	3.33697
03/02/10 10:15:15.5	3.34784
03/02/10 10:19:59.0	3.35871
03/02/10 10:31:39.5	3.36958
03/02/10 14:57:43.0	3.36958
